            # x            y_Lagrange              y_Newton              y_Spline              y_Exacta
   -0.392000000000E+01    0.145990853718E+01    0.145990853718E+01    0.146506502565E+01    0.142702365766E+01
   -0.388000000000E+01    0.135482271512E+01    0.135482271512E+01    0.136366677791E+01    0.130785159590E+01
   -0.384000000000E+01    0.125414868449E+01    0.125414868449E+01    0.126720752479E+01    0.119482202870E+01
   -0.380000000000E+01    0.115877752772E+01    0.115877752772E+01    0.117638301985E+01    0.108890262202E+01
   -0.376000000000E+01    0.106961990514E+01    0.106961990514E+01    0.109188901666E+01    0.991047348240E+00
   -0.372000000000E+01    0.987597736735E+00    0.987597736735E+00    0.101442126878E+01    0.902189809397E+00
   -0.368000000000E+01    0.913635487127E+00    0.913635487127E+00    0.944675529782E+00    0.823236511168E+00
   -0.364000000000E+01    0.848651151009E+00    0.848651151009E+00    0.883347553230E+00    0.755060133739E+00
   -0.360000000000E+01    0.793547038776E+00    0.793547038776E+00    0.831133092691E+00    0.698492847332E+00
   -0.356000000000E+01    0.749200462475E+00    0.749200462475E+00    0.788727901733E+00    0.654319720907E+00
   -0.352000000000E+01    0.716454422204E+00    0.716454422204E+00    0.756827733920E+00    0.623272273220E+00
   -0.348000000000E+01    0.696108391864E+00    0.696108391864E+00    0.736128342821E+00    0.606022215610E+00
   -0.344000000000E+01    0.688909301131E+00    0.688909301131E+00    0.727325482001E+00    0.603175435752E+00
   -0.340000000000E+01    0.695542807545E+00    0.695542807545E+00    0.731114905026E+00    0.615266271109E+00
   -0.336000000000E+01    0.716624948894E+00    0.716624948894E+00    0.748192365464E+00    0.642752119873E+00
   -0.332000000000E+01    0.752694261522E+00    0.752694261522E+00    0.779253616881E+00    0.686008435918E+00
   -0.328000000000E+01    0.804204445008E+00    0.804204445008E+00    0.824994412843E+00    0.745324152596E+00
   -0.324000000000E+01    0.871517647820E+00    0.871517647820E+00    0.886110506917E+00    0.820897578151E+00
   -0.320000000000E+01    0.954898442133E+00    0.954898442133E+00    0.963297652670E+00    0.912832803083E+00
   -0.316000000000E+01    0.105450854913E+01    0.105450854913E+01    0.105725160367E+01    0.102113665700E+01
   -0.312000000000E+01    0.117040236877E+01    0.117040236877E+01    0.116866811348E+01    0.114571624937E+01
   -0.308000000000E+01    0.130252336035E+01    0.130252336035E+01    0.129824293566E+01    0.128637712499E+01
   -0.304000000000E+01    0.145070131232E+01    0.145070131232E+01    0.144667182379E+01    0.144282206145E+01
   -0.300000000000E+01    0.161465053143E+01    0.161465053143E+01    0.161465053143E+01    0.161465053143E+01
   -0.296000000000E+01    0.179396897346E+01    0.179396897346E+01    0.180247556630E+01    0.180135884862E+01
