 # Paso_MC    Energia    Magnetizacion
       50500  -31854.0000       9120.00000    
       50600  -31818.0000       9168.00000    
       50700  -31502.0000       8934.00000    
       50800  -31694.0000       9076.00000    
       50900  -31778.0000       9090.00000    
       51000  -31866.0000       9130.00000    
       51100  -31918.0000       9214.00000    
       51200  -31654.0000       8930.00000    
       51300  -31714.0000       9078.00000    
       51400  -31582.0000       9056.00000    
       51500  -31950.0000       9214.00000    
       51600  -31770.0000       9138.00000    
       51700  -31690.0000       9062.00000    
       51800  -31830.0000       9104.00000    
       51900  -31646.0000       9064.00000    
       52000  -31638.0000       9026.00000    
       52100  -31710.0000       9080.00000    
       52200  -31678.0000       9096.00000    
       52300  -31770.0000       9060.00000    
       52400  -31342.0000       8870.00000    
       52500  -31862.0000       9144.00000    
       52600  -31814.0000       9180.00000    
       52700  -31666.0000       9158.00000    
       52800  -32202.0000       9238.00000    
       52900  -31910.0000       9220.00000    
       53000  -31858.0000       9138.00000    
       53100  -31570.0000       9050.00000    
       53200  -31958.0000       9180.00000    
       53300  -31730.0000       9100.00000    
       53400  -31798.0000       9132.00000    
       53500  -31378.0000       8978.00000    
       53600  -31650.0000       9104.00000    
       53700  -31570.0000       9066.00000    
       53800  -31778.0000       9094.00000    
       53900  -31758.0000       9042.00000    
       54000  -31790.0000       9150.00000    
       54100  -31818.0000       9114.00000    
       54200  -31758.0000       9118.00000    
       54300  -31910.0000       9202.00000    
       54400  -32094.0000       9268.00000    
       54500  -31602.0000       9030.00000    
       54600  -31482.0000       8980.00000    
       54700  -31826.0000       9150.00000    
       54800  -31758.0000       9084.00000    
       54900  -31994.0000       9242.00000    
       55000  -31634.0000       9144.00000    
       55100  -31778.0000       9128.00000    
       55200  -31794.0000       9124.00000    
       55300  -31990.0000       9252.00000    
       55400  -31790.0000       9126.00000    
       55500  -31894.0000       9164.00000    
       55600  -31986.0000       9270.00000    
       55700  -31530.0000       9034.00000    
       55800  -31682.0000       9116.00000    
       55900  -31634.0000       9098.00000    
       56000  -31634.0000       9028.00000    
       56100  -31718.0000       9122.00000    
       56200  -31786.0000       9126.00000    
       56300  -31838.0000       9128.00000    
       56400  -31826.0000       9148.00000    
       56500  -32030.0000       9276.00000    
       56600  -31938.0000       9202.00000    
       56700  -31722.0000       9116.00000    
       56800  -31994.0000       9200.00000    
       56900  -31646.0000       9022.00000    
       57000  -32146.0000       9296.00000    
       57100  -31686.0000       9102.00000    
       57200  -31770.0000       9068.00000    
       57300  -31478.0000       8960.00000    
       57400  -31774.0000       9136.00000    
       57500  -31898.0000       9208.00000    
       57600  -31654.0000       9084.00000    
       57700  -31406.0000       8986.00000    
       57800  -32002.0000       9226.00000    
       57900  -31818.0000       9178.00000    
       58000  -31854.0000       9144.00000    
       58100  -31770.0000       9166.00000    
       58200  -31734.0000       9132.00000    
       58300  -31946.0000       9228.00000    
       58400  -31758.0000       9094.00000    
       58500  -31954.0000       9180.00000    
       58600  -31638.0000       9102.00000    
       58700  -32038.0000       9238.00000    
       58800  -31378.0000       8984.00000    
       58900  -31766.0000       9116.00000    
       59000  -31694.0000       9088.00000    
       59100  -31686.0000       9036.00000    
       59200  -31718.0000       9104.00000    
       59300  -31502.0000       8996.00000    
       59400  -31862.0000       9216.00000    
       59500  -31754.0000       9058.00000    
       59600  -31962.0000       9200.00000    
       59700  -31882.0000       9146.00000    
       59800  -31770.0000       9052.00000    
       59900  -31738.0000       9176.00000    
       60000  -31838.0000       9128.00000    
       60100  -31566.0000       9082.00000    
       60200  -31810.0000       9136.00000    
       60300  -31778.0000       9156.00000    
